sep=,
"Data","Terceiro","Doc.","Nome [Clientes]","Vendedor","Família [Artigos]","Valor [Documentos GC Lin]"
"05-05-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"05-05-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"05-05-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"05-05-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"05-05-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"05-05-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"06-06-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","LH","0"
"30-06-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","TIVOLY","0"
"16-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"16-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"16-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"16-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"16-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"22-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","LH","0"
"22-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"24-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"24-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"24-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"24-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"24-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"24-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"24-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"24-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"24-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"24-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"24-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"24-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"24-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"24-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"24-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"24-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"24-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","ACCUD","0"
"24-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"24-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"24-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"24-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"24-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"24-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"24-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"24-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"24-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"24-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"24-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"24-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"25-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","KENNA","0"
"25-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","KENNA","0"
"25-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","OSBORN","0"
"25-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","OSBORN","0"
"25-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","OSBORN","0"
"25-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","OSBORN","0"
"25-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"25-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"25-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"25-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"25-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"25-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"25-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"25-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"29-07-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","VOLKEL","0"
"04-09-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","OSBORN","0"
"09-09-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","VOLKEL","0"
"09-09-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","VOLKEL","0"
"09-09-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"09-09-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"09-09-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"09-09-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"09-09-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"11-09-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","OSAWA","0"
"19-09-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","OSAWA","0"
"19-09-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"22-09-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"22-09-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","LH","0"
"22-09-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"22-09-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"23-09-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","LH","0"
"29-09-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","OSBORN","0"
"29-09-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","OSBORN","0"
"29-09-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","LH","0"
"29-09-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","NATSU","0"
"30-09-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","LH","0"
"14-10-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"14-10-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"20-10-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"20-10-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"20-10-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
"20-10-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","HTK","0"
"20-10-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","NATSU","0"
"22-10-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","OSBORN","0"
"22-10-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","OSBORN","0"
"28-11-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","YAMAWA","0"
