sep=,
"Data","Doc.","Artigo [Documentos GC Lin]","Descrição [Artigos]","Observ. [Artigos]","Quant [Documentos GC Lin]","Valor [Documentos GC Lin]","Desconto [Documentos GC Lin]","Família [Artigos]","Nome [Clientes]","Vendedor [Documentos GC Lin]"
"10-03-2025","ENC",="102189","FRESA TUNGS 4N LONGA","1 XLM TIA 6,00mm  49416","5","169,2",="10","SGS","ANTÓNIO CUNHA LEITE, LDA.","DB"
"19-03-2025","ENC",="117029","PLAQUETE","DNMG 150608MN KCP25B  5387737","10","138,77",="35","KENNA","AZEVEDOS INDÚSTRIA MÁQUINAS EQUIP. IND., SA.","VT"
"27-03-2025","ENC",="105835","PINÇA","ER 32 470 E Ø10 D=33 L=40","1","15,5",="0","EROGLU","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"27-03-2025","ENC","","","","0","0",="0","","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"27-03-2025","ENC","","","","0","0",="0","","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"27-03-2025","ENC","","","","0","0",="0","","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"27-03-2025","ENC","","","","0","0",="0","","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"27-03-2025","ENC","","","","0","0",="0","","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"27-03-2025","ENC",="105834","PINÇA","ER 32 470 E Ø8 D=33 L=40","1","15,5",="0","EROGLU","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"27-03-2025","ENC",="106368","PINÇA","ER 32 470 E Ø9 D=33 L=40","2","31",="0","EROGLU","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"27-03-2025","ENC",="106367","PINÇA","ER 32 470 E Ø7 D=33 L=40","2","31",="0","EROGLU","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"27-03-2025","ENC",="133518","KIT GOMILL PRO 6-8-10-12","FRESA TUNG 4NAV ENC. CILINDRICO S/F","1","90",="0","KENNA","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"27-03-2025","ENC",="107257","CHAVE","DIN 1810 A OZ 25 E C-D=58-62 SEXT","2","22",="0","EROGLU","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"27-03-2025","ENC",="121122","GRAMINHO ANALÓGICO C/AJUSTE FINO","Nr 0345 522 300mm/0,02","1","439",="0","HELIOS","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"27-03-2025","ENC",="105832","PINÇA","ER 32 470 E Ø12 D=33 L=40","1","15,5",="0","EROGLU","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"07-04-2025","ENC",="120618","PLAQUETE","TPKN2204PDTR KCPK30","10","155,02",="35","KENNA","ADIRA - METAL FORMING SOLUTIONS, SA","VT"
"07-04-2025","ENC","","","","0","0",="0","","ADIRA - METAL FORMING SOLUTIONS, SA","VT"
"11-04-2025","ENC","","","","0","0",="0","","FLYSTEEL, LDA","DB"
"11-04-2025","ENC",="123353","PLAQUETE","KSEM3000HPGM KCPM45","3","564,9",="30","KENNA","FLYSTEEL, LDA","DB"
"11-04-2025","ENC",="119994","BROCA","KSEM300R3WN32M","0","0",="0","KENNA","FLYSTEEL, LDA","DB"
"11-04-2025","ENC","G","KIT PROMOCIONAL","","0","0",="0","","FLYSTEEL, LDA","DB"
"11-04-2025","ENC","G","KIT PROMOCIONAL","","0","0",="0","","FLYSTEEL, LDA","DB"
"11-04-2025","ENC",="133907","BROCA","KSEM330R3WD40M","0","0",="0","KENNA","FLYSTEEL, LDA","DB"
"11-04-2025","ENC",="127742","PLAQUETE","KSEM3300HPGM KCPM45","3","639,45",="30","KENNA","FLYSTEEL, LDA","DB"
"15-04-2025","ENC",="120209","BROCA MD 5xD RI","355HPU 8,5 mm","2","94,95",="25","OSAWA","JOÃO & OLIVEIRA, LDA.","VT"
"15-04-2025","ENC",="120210","BROCA MD 5xD RI","355HPU 10 mm","1","47,48",="25","OSAWA","JOÃO & OLIVEIRA, LDA.","VT"
"15-04-2025","ENC","","","","0","0",="0","","JOÃO & OLIVEIRA, LDA.","VT"
