sep=,
"Data","Doc.","Artigo [Documentos GC Lin]","Descrição [Artigos]","Observ. [Artigos]","Quant [Documentos GC Lin]","Valor [Documentos GC Lin]","Desconto [Documentos GC Lin]","Família [Artigos]","Nome [Clientes]","Vendedor [Documentos GC Lin]"
"12-06-2025","ENC","G","KIT PROMOCIONAL","","0","0",="0","","EMBALUSA REPRESENTAÇÃO E COMERCIALIZAÇÃO DE EQUIPAMENTOS E SERVIÇOS LDA","FL"
"12-06-2025","ENC",="107080","PINÇA","462 E Ø15 D=35,05 L=52","0","0",="0","EROGLU","MOLDU´S, LDA.","DB"
"12-06-2025","ENC",="115298","PARAFUSO","SSV M2.5x7-9506","0","0",="0","SMOXH","MOLDU´S, LDA.","DB"
"12-06-2025","ENC",="131413","TIRANTE","LDD-40B M16 DIN69872","0","0",="0","HTK","MOLDU´S, LDA.","DB"
"12-06-2025","ENC",="110389","FRESA TUNGS 2N CURTA","460 LH2EM020 ALTIN 2,00mm","0","0","20+10","LH","FAMIL FÁBRICA MOLDES P/INJECÇÃO, SA","DB"
"12-06-2025","ENC",="110347","FRESA TUNGS 2N CURTA","460 LH2EM120 ALTIN 12,00mm","0","0",="5","LH","MOLDU´S, LDA.","DB"
"12-06-2025","ENC",="110430","FRESA TUNGS 2N LONGA BOL","460 LH2BZB080 ALTIN 8,00mm","0","0",="5","LH","MOLDU´S, LDA.","DB"
"12-06-2025","ENC",="101808","FRESA MEIA LUA WOODRUFF T1-HSS","20 M22 28,5x5,0mm","0","0",="0","CLARKS","SERMEC - LASER & WATERJET LDA","VT"
"12-06-2025","ENC",="119882","PLAQUETE","LT22ERN60 KC5025","0","0",="20","KENNA","IRMÃOS SARABANDA, LDA","OC"
"12-06-2025","ENC",="110447","MACHO HSSE B/VERMELHA DIN371","M 8,00x1.25 Helic A/DUROS  TM1530","0","0",="25","NATSU","ICEBEL COM. MAQ. E DESENV. INDUSTRIAL, LDA.","FL"
"12-06-2025","ENC","P","Portes","Portes","0","0",="0","","ICEBEL COM. MAQ. E DESENV. INDUSTRIAL, LDA.","FL"
"12-06-2025","ENC",="129228","MACHO HSS DIN371 ISO2(6H)","M 6,00x1.00 Helic  (SP-VA)","0","0",="45","YAMAWA","MILON INDÚSTRIA METALOMECÂNICA MOLDES, LDA.","VT"
"12-06-2025","ENC",="100222","BROCA CILINDRICA DIN338N","0 HSS 3,00mm","0","0",="0","OSBORN","RIBEIRO & ROCHA, LDA.","HR"
"12-06-2025","ENC",="100294","BROCA CILINDRICA DIN338N","0 HSS 8,00mm","0","0",="0","OSBORN","RIBEIRO & ROCHA, LDA.","HR"
"12-06-2025","ENC",="100264","BROCA CILINDRICA DIN338N","0 HSS 5,50mm","0","0",="0","OSBORN","RIBEIRO & ROCHA, LDA.","HR"
"12-06-2025","ENC",="100270","BROCA CILINDRICA DIN338N","0 HSS 6,00mm","0","0",="0","OSBORN","RIBEIRO & ROCHA, LDA.","HR"
"12-06-2025","ENC",="107920","BROCA HSS","138N 4,2 mm","0","0",="0","OSAWA","RIBEIRO & ROCHA, LDA.","HR"
"12-06-2025","ENC",="134113","VIDRO P/POTENCIOMETRO RPM","E25043003 EFA-670 P/PK-FV2 PINNACLE","0","0",="0","PINNAC","ADLA - ALUMINIUM EXTRUSION, SA","DB"
"12-06-2025","ENC","P","Portes","Portes","0","0",="0","","BETASTEEL - METALOMECANICA LDA","VT"
"12-06-2025","ENC",="115059","FRESA CRANEANA","FE 30 30mm Curta","0","0",="0","FETOOL","BETASTEEL - METALOMECANICA LDA","VT"
"12-06-2025","ENC",="121384","CABEÇA FRESAR","TK90 LNGU15 D40 A16 Z04-H","0","0",="0","SMOXH","CEI COMPANHIA EQUIPAMENTOS INDUSTRIAIS,LDA","OC"
"12-06-2025","ENC","G","KIT PROMOCIONAL","","0","0",="0","","CEI COMPANHIA EQUIPAMENTOS INDUSTRIAIS,LDA","OC"
"12-06-2025","ENC",="113523","PLAQUETE","LNGU15T608SRGE KC725M","0","0",="35","KENNA","CEI COMPANHIA EQUIPAMENTOS INDUSTRIAIS,LDA","OC"
"12-06-2025","ENC",="105976","PINÇA","462 E Ø6 D=35,05 L=52","0","0",="0","EROGLU","CEI COMPANHIA EQUIPAMENTOS INDUSTRIAIS,LDA","OC"
"12-06-2025","ENC","","","","0","0",="0","","CEI COMPANHIA EQUIPAMENTOS INDUSTRIAIS,LDA","OC"
"12-06-2025","ENC","P","Portes","Portes","0","0",="0","","FELGRAVA MOLDES, LDA.","DB"
"12-06-2025","ENC",="110511","FRESA TUNGS 4N CURTA","460 LH4EM100 ALTIM 10,00mm","0","0",="0","LH","FELGRAVA MOLDES, LDA.","DB"
"12-06-2025","ENC",="101302","DIAMANTE P/RECTIF. MOS 12X150","CARAT 0,50","0","0",="20","KUTWEL","F REIS MÁQUINAS FERRAMENTAS, LDA.","AB"
"12-06-2025","ENC",="101303","DIAMANTE P/RECTIF. MOS 12X150","CARAT 0,75","0","0",="20","KUTWEL","F REIS MÁQUINAS FERRAMENTAS, LDA.","AB"
"12-06-2025","ENC","","","","0","0",="0","","MEGAFLUXO COMÉRCIO EQUIP. INDUSTRIAIS, LDA.","FL"
"12-06-2025","ENC","","","","0","0",="0","","MEGAFLUXO COMÉRCIO EQUIP. INDUSTRIAIS, LDA.","FL"
"12-06-2025","ENC",="122889","PLAQUETE","TCMT 16T304MG CM6025","0","0",="10","NATSU","MEGAFLUXO COMÉRCIO EQUIP. INDUSTRIAIS, LDA.","FL"
"12-06-2025","ENC",="101230","PLAQUETE","KNUX 160405RN","0","0",="10","FERVI","MEGAFLUXO COMÉRCIO EQUIP. INDUSTRIAIS, LDA.","FL"
"12-06-2025","ENC",="131488","PLAQUETE","TCMT 110204MK CM2560","0","0",="10","NATSU","MEGAFLUXO COMÉRCIO EQUIP. INDUSTRIAIS, LDA.","FL"
"12-06-2025","ENC",="106394","PLAQUETE","KNUX 160405LN P20","0","0",="10","FERVI","MEGAFLUXO COMÉRCIO EQUIP. INDUSTRIAIS, LDA.","FL"
"12-06-2025","ENC",="128584","PLAQUETE","EC030M03N00CL02 KCM35B","0","0",="25","KENNA","ASGO TECNOL. P/IND. ALIMENTAR, SA","VT"
"12-06-2025","ENC",="120080","PLAQUETE","LT16NR15ISO KC5025","0","0",="20","KENNA","ASGO TECNOL. P/IND. ALIMENTAR, SA","VT"
"12-06-2025","ENC",="116510","SUPORTE","EVSMR2525M0316C","0","0",="15","KENNA","ASGO TECNOL. P/IND. ALIMENTAR, SA","VT"
"12-06-2025","ENC",="116601","PLAQUETE","EC030M03N00CF02 KCM35B","0","0",="35","KENNA","ACAM - FABRICA DE ARTIGOS SANITARIOS LDA","OC"
"12-06-2025","ENC",="107565","BUCHA APERTO RÁPIDO T/136-70","3,0-16,0 B16 Supra  871064","0","0",="0","ROHM","MOREIRA COSTA MOLDES, LDA","OC"
"12-06-2025","ENC",="100599","BUCHA P/TORNO","M 049A 160x3","0","0",="20","FERVI","COVITOOL COMÈRCIO MAQ. FERR. PROFISSIONAIS, LDA.","AB"
"12-06-2025","ENC",="100197","BROCA CILINDRICA DIN338N","0 HSS 1,65mm","0","0",="0","OSBORN","ANTÓNIO CUNHA LEITE, LDA.","DB"
"12-06-2025","ENC",="100259","BROCA CILINDRICA DIN338N","0 HSS 5,10mm","0","0",="0","OSBORN","ANTÓNIO CUNHA LEITE, LDA.","DB"
"12-06-2025","ENC",="100306","BROCA CILINDRICA DIN338N","0 HSS 9,00mm","0","0",="0","OSBORN","ANTÓNIO CUNHA LEITE, LDA.","DB"
"12-06-2025","ENC",="131491","PLAQUETE","APKT 100308PDER MG CM6233","0","0",="0","NATSU","SCALESOCEANS - LDA","FL"
"12-06-2025","ENC",="114218","FRESA","MT90 AP10 D25 M12 L35 Z03-H","0","0",="0","SMOXH","SCALESOCEANS - LDA","FL"
"12-06-2025","ENC",="117863","PLAQUETE P/ALUMINIO","APKT 100304PDFRA04","0","0",="0","NATSU","SCALESOCEANS - LDA","FL"
"12-06-2025","ENC","","","","0","0",="0","","SCALESOCEANS - LDA","FL"
"12-06-2025","ENC",="133977","FRESA","MT90 AP10 D32 M16 L43 Z04-H","0","0",="0","SMOXH","SCALESOCEANS - LDA","FL"
"12-06-2025","ENC",="117948","COMPARADOR INTERIOR","261 008 11 30mm 0,8mm/0,01","0","0",="0","ACCUD","AF AZEVEDOS, FERRAMENTAS, LDA.","OC"
"12-06-2025","ENC",="108801","TRANSFERIDOR 0-180º","Nr 0411 303 150mm","0","0",="0","HELIOS","AF AZEVEDOS, FERRAMENTAS, LDA.","OC"
"12-06-2025","ENC","","","","0","0",="0","","AF AZEVEDOS, FERRAMENTAS, LDA.","OC"
"13-06-2025","ENC","","","","0","0",="0","","FAMIL FÁBRICA MOLDES P/INJECÇÃO, SA","DB"
"13-06-2025","ENC",="119876","PLAQUETE","TNMG160408MP KCM25B","0","0",="35","KENNA","FAMIL FÁBRICA MOLDES P/INJECÇÃO, SA","DB"
"13-06-2025","ENC",="110446","MACHO HSSE B/VERMELHA DIN371","M 6,00x1.00 Helic A/DUROS  TM1530","0","0",="25","NATSU","VIDROMECANICA METALOMECANICA VIDREIRA LDA","FL"
"13-06-2025","ENC",="110793","MACHO HSSE B/VERDE DIN371","M 8,00x1.25 Helic. INOX  TM2530","0","0",="25","NATSU","VIDROMECANICA METALOMECANICA VIDREIRA LDA","FL"
"13-06-2025","ENC",="110792","MACHO HSSE B/VERDE DIN371","M 6,00x1.00 Helic. INOX  TM2530","0","0",="25","NATSU","VIDROMECANICA METALOMECANICA VIDREIRA LDA","FL"
"13-06-2025","ENC",="110447","MACHO HSSE B/VERMELHA DIN371","M 8,00x1.25 Helic A/DUROS  TM1530","0","0",="25","NATSU","VIDROMECANICA METALOMECANICA VIDREIRA LDA","FL"
"13-06-2025","ENC",="113243","FRESA TUNGS 3N SERIE 33","33 M TIA 8,00mm R0.5  43449","0","0",="0","SGS","OMNIARKEL LDA","VT"
"13-06-2025","ENC",="118957","FRESA TUNGS 3N SERIE 33","33 M TIA 4,00mm R0.3  43446","0","0",="0","SGS","OMNIARKEL LDA","VT"
"13-06-2025","ENC","P","Portes","Portes","1","4,5",="0","","IMEPRE - INDÚSTRIA MECÂNICA DE PRECISÃO, LDA","OC"
"13-06-2025","ENC","","","","0","0",="0","","IMEPRE - INDÚSTRIA MECÂNICA DE PRECISÃO, LDA","OC"
"13-06-2025","ENC",="134124","RECARTILHA PM","GV 0,80 45º. 20x8x6mm Nr 21","0","0",="0","ZEUS","IMEPRE - INDÚSTRIA MECÂNICA DE PRECISÃO, LDA","OC"
"13-06-2025","ENC","","","","0","0",="0","","SERMEC II IND., COMÉRCIO SERVIÇOS, SA","VT"
"13-06-2025","ENC",="113424","FRESA TUNGS 4N CURTA BOL","460 LH4BZ120 ALTIN 12,00mm","0","0",="20","LH","SERMEC II IND., COMÉRCIO SERVIÇOS, SA","VT"
"13-06-2025","ENC",="134119","FRESA TUNGS 4N S-CARB REV","43 MAPF TIB 16,00mm   44634","0","0",="15","SGS","INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, IP","AB"
"13-06-2025","ENC",="111840","FRESA TUNGS 4N Z-CARB-AP RAIO","Z 1MPCR 8,00mm R0.5  46856","0","0",="15","SGS","INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, IP","AB"
"13-06-2025","ENC",="134121","FRESA TUNGS 5N V-CARB","55 S SQ TIA 8,00mm  42610","0","0",="15","SGS","INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, IP","AB"
"13-06-2025","ENC",="109757","FRESA TUNGS 4N Z-CARB-AP RAIO","Z 1MPCR 10,0mm R0.50  46858","0","0",="15","SGS","INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, IP","AB"
"13-06-2025","ENC",="134115","FRESA TUNGS 4N S-CARB REV","43 MAPF TIB 6,00mm   44627","0","0",="15","SGS","INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, IP","AB"
"13-06-2025","ENC",="134118","FRESA TUNGS 4N S-CARB REV","43 MAPF TIB 12,00mm   44630","0","0",="15","SGS","INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, IP","AB"
"13-06-2025","ENC",="111683","FRESA TUNGS 4N Z-CARB-AP RAIO","Z 1MPCR 16,0 TIA R1.00  46863","0","0",="15","SGS","INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, IP","AB"
"13-06-2025","ENC",="106908","FRESA TUNGS 5N V-CARB","55 S SQ TIA 12,00mm  42616","0","0",="15","SGS","INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, IP","AB"
"13-06-2025","ENC",="103650","FRESA TUNGS 2N BOL/CURTA","3 MB 12,00mm  40366","0","0",="15","SGS","INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, IP","AB"
"13-06-2025","ENC",="121073","FRESA TUNGS 3N S-CARB DESBASTE","43 MCB TIB 10,00mm R0.3  44306","0","0",="15","SGS","INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, IP","AB"
"13-06-2025","ENC",="134114","FRESA TUNGS 3N S-CARB DESBASTE","43 MCB TIB 16,00mm R1.0  44308","0","0",="15","SGS","INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, IP","AB"
"13-06-2025","ENC",="134116","FRESA TUNGS 4N S-CARB REV","43 MAPF TIB 8,00mm   44628","0","0",="15","SGS","INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, IP","AB"
"13-06-2025","ENC",="134122","FRESA TUNGS 5N V-CARB","55 S SQ TIA 16,00mm  42618","0","0",="15","SGS","INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, IP","AB"
"13-06-2025","ENC",="134123","FRESA TUNGS 5N V-CARB","55 S SQ TIA 10,00mm  42622","0","0",="15","SGS","INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, IP","AB"
"13-06-2025","ENC",="113008","FRESA TUNGS 3N S-CARB DESBASTE","43 MCB TIB 8,00mm R0.3  44305","0","0",="15","SGS","INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, IP","AB"
"13-06-2025","ENC",="134117","FRESA TUNGS 4N S-CARB REV","43 MAPF TIB 10,00mm   44629","0","0",="15","SGS","INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, IP","AB"
"13-06-2025","ENC",="134120","FRESA TUNGS 5N V-CARB","55 S SQ TIA 6,00mm  42607","0","0",="15","SGS","INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, IP","AB"
"13-06-2025","ENC",="132748","FRESA TUNGS 4N Z-CARB-AP RAIO","Z 1MPCR 6,00mm R0.5  46854","0","0",="15","SGS","INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, IP","AB"
"13-06-2025","ENC",="110112","FRESA TUNGS 4N Z-CARB-AP RAIO 0.50","Z 1MPCR 12,0 TIA R1.00  46860","0","0",="15","SGS","INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, IP","AB"
"13-06-2025","ENC",="113009","FRESA TUNGS 3N S-CARB DESBASTE","43 MCB TIB 12,00mm R1.0  44307","0","0",="15","SGS","INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, IP","AB"
"13-06-2025","ENC","","","","0","0",="0","","INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, IP","AB"
"13-06-2025","ENC",="134125","FRESA MÓDULO HSS 5%CO","MOD141 1,50 Nr.6 35/54","0","0",="0","STOCK","SALVADOR AFONSO CUNHA PACHECO","OC"
"13-06-2025","ENC",="133633","FRESA TUNGS 4N CURTA","BD550 D10×25×D10×75L—4F","0","0",="0","HTK","AFN LDA","OC"
"13-06-2025","ENC",="133634","FRESA TUNGS 4N CURTA","BD550 D12×30×D12×75L—4F","0","0",="0","HTK","AFN LDA","OC"
"13-06-2025","ENC",="133632","FRESA TUNGS 4N CURTA","BD550 D8×20×D8×60L—4F","0","0",="0","HTK","AFN LDA","OC"
"13-06-2025","ENC",="133396","FRESA MEIA LUA WOODRUFF HSSCO5%","TCL61 22,5x4,0mm","0","0",="20","STOCK","COVITOOL COMÈRCIO MAQ. FERR. PROFISSIONAIS, LDA.","AB"
"13-06-2025","ENC",="133930","CARRO C/ FERRAMENTAS 6 GAVETAS","1472 K6BKFFSD 216 FERRAMENTAS","0","0",="0","BAHCO","SVN - TORNEARIA, SERRALHARIA E SOLDADURAS TÉCNICAS","OC"
"13-06-2025","ENC",="110347","FRESA TUNGS 2N CURTA","460 LH2EM120 ALTIN 12,00mm","0","0",="5","LH","LUFIMOLDES, LDA.","FL"
"13-06-2025","ENC",="110344","FRESA TUNGS 2N CURTA","460 LH2EM060 ALTIN 6,00mm","0","0",="5","LH","LUFIMOLDES, LDA.","FL"
"13-06-2025","ENC",="111339","FRESA TUNGS 2N CURTA RAIO","460 LH2MR060-10 ALTIN 6,00mm R1.0","0","0",="5","LH","LUFIMOLDES, LDA.","FL"
"13-06-2025","ENC",="110910","FRESA TUNGS 2N LONGA","460 LH2EMA060 ALTIN 6,00mm","0","0",="5","LH","LUFIMOLDES, LDA.","FL"
"13-06-2025","ENC",="111225","FRESA TUNGS 2N CURTA RAIO","460 LH2MR060-05 ALTIN 6,00mm R0.5","0","0",="5","LH","LUFIMOLDES, LDA.","FL"
"13-06-2025","ENC",="120196","PLAQUETE","SEKN1203AFSNGN KC725M","0","0",="40","KENNA","LUFIMOLDES, LDA.","FL"
"13-06-2025","ENC","P","Portes","Portes","0","0",="0","","NEWTOF - MAQUINAÇÕES TECNICAS LDA","HR"
"13-06-2025","ENC",="130384","MACHO HSS DIN374 ISO2","M 7,00x0.75 Helic  (SP)","0","-0,01",="45","YAMAWA","NEWTOF - MAQUINAÇÕES TECNICAS LDA","HR"
"13-06-2025","ENC","","","","0","0",="0","","NEWTOF - MAQUINAÇÕES TECNICAS LDA","HR"
"13-06-2025","ENC",="100273","BROCA CILINDRICA DIN338N","0 HSS 6,25mm 8207020625","0","0",="0","OSBORN","NEWTOF - MAQUINAÇÕES TECNICAS LDA","HR"
"13-06-2025","ENC",="115519","CALÇO RECTIFICADO","P 017 150/8 Jogo 18 Peças","0","0",="0","FERVI","DEL SERVICE-ENGENHARIA E MANUTENÇÃO INDUSTRIAL LDA","OC"
"13-06-2025","ENC",="133175","OBSOLETO","GOMILL PRO KIT M CYLINDRICAL","0","0",="0","KENNA","DEL SERVICE-ENGENHARIA E MANUTENÇÃO INDUSTRIAL LDA","OC"
"13-06-2025","ENC",="121047","MICROMETRO EXT JOGO 6PCS","321 006 06 0-150mm 0,01","0","0",="0","ACCUD","DEL SERVICE-ENGENHARIA E MANUTENÇÃO INDUSTRIAL LDA","OC"
"13-06-2025","ENC","","","","0","0",="0","","SKELT METALOMECÂNICA, SA","VT"
"13-06-2025","ENC","P","Portes","Portes","0","0",="0","","SKELT METALOMECÂNICA, SA","VT"
"13-06-2025","ENC",="134126","CONE P/ ROCAS","BT40 AD/B Ø40-60","0","0",="0","EROGLU","SKELT METALOMECÂNICA, SA","VT"
"13-06-2025","ENC","P","Portes","Portes","0","0",="0","","IRMÃOS SARABANDA, LDA","OC"
"13-06-2025","ENC",="102138","FRESA TUNGS 4N CURTA","1 M TIA 2,00mm  48545","0","0",="0","SGS","IRMÃOS SARABANDA, LDA","OC"
"13-06-2025","ENC",="106452","AZERADOR UNIVERSAL","80 360 00 FHN 3D","0","0",="20","HAIMER","COVITOOL COMÈRCIO MAQ. FERR. PROFISSIONAIS, LDA.","AB"
"13-06-2025","ENC","","","","0","0",="0","","COVITOOL COMÈRCIO MAQ. FERR. PROFISSIONAIS, LDA.","AB"
"13-06-2025","ENC",="110351","FRESA TUNGS 4N CURTA","460 LH4EM060 ALTIN 6,00mm","0","0",="0","LH","UNISOLDA AR COMPRIMIDO & SOLDADURAS, LDA.","OC"
"13-06-2025","ENC","P","Portes","Portes","0","0",="0","","UNISOLDA AR COMPRIMIDO & SOLDADURAS, LDA.","OC"
"13-06-2025","ENC",="110511","FRESA TUNGS 4N CURTA","460 LH4EM100 ALTIM 10,00mm","0","0",="0","LH","UNISOLDA AR COMPRIMIDO & SOLDADURAS, LDA.","OC"
"13-06-2025","ENC","","","","0","0",="0","","UNISOLDA AR COMPRIMIDO & SOLDADURAS, LDA.","OC"
"13-06-2025","ENC",="121047","MICROMETRO EXT JOGO 6PCS","321 006 06 0-150mm 0,01","0","0",="0","ACCUD","DEL SERVICE-ENGENHARIA E MANUTENÇÃO INDUSTRIAL LDA","OC"
"16-06-2025","ENC",="110358","FRESA TUNGS 2N CURTA BOL","460 LH2BZ040 ALTIN 4,00mm","0","0","20+10","LH","FAMIL FÁBRICA MOLDES P/INJECÇÃO, SA","DB"
"16-06-2025","ENC",="110864","FRESA TUNGS 2N CURTA BOL","460 LH2BZ015 ALTIN 1,50mm","0","0","20+10","LH","FAMIL FÁBRICA MOLDES P/INJECÇÃO, SA","DB"
"16-06-2025","ENC",="110863","FRESA TUNGS 2N CURTA BOL","460 LH2BZ010 ALTIN 1,00mm","0","0","20+10","LH","FAMIL FÁBRICA MOLDES P/INJECÇÃO, SA","DB"
"16-06-2025","ENC",="110390","FRESA TUNGS 2N CURTA BOL","460 LH2BZ020 ALTIN 2,00mm","0","0","20+10","LH","FAMIL FÁBRICA MOLDES P/INJECÇÃO, SA","DB"
"16-06-2025","ENC",="110361","FRESA TUNGS 2N CURTA BOL","460 LH2BZ080 ALTIN 8,00mm","0","0","20+10","LH","FAMIL FÁBRICA MOLDES P/INJECÇÃO, SA","DB"
"16-06-2025","ENC",="110868","FRESA TUNGS 2N CURTA","460 LH2EM010 ALTIN 1,00mm","0","0","20+10","LH","FAMIL FÁBRICA MOLDES P/INJECÇÃO, SA","DB"
"16-06-2025","ENC",="110342","FRESA TUNGS 2N CURTA","460 LH2EM030 ALTIN 3,00mm","0","0","20+10","LH","FAMIL FÁBRICA MOLDES P/INJECÇÃO, SA","DB"
"16-06-2025","ENC",="110389","FRESA TUNGS 2N CURTA","460 LH2EM020 ALTIN 2,00mm","0","0","20+10","LH","FAMIL FÁBRICA MOLDES P/INJECÇÃO, SA","DB"
"16-06-2025","ENC",="110363","FRESA TUNGS 2N CURTA BOL","460 LH2BZ120 ALTIN 12,00mm","0","0","20+10","LH","FAMIL FÁBRICA MOLDES P/INJECÇÃO, SA","DB"
"16-06-2025","ENC","","","","0","0",="0","","PROFACTOR S A","VT"
"16-06-2025","ENC",="118713","ESCAREADOR HSS REV TIN Z3","12510TIN 12,40mm 90º","0","0",="0","NUI","PROFACTOR S A","VT"
"16-06-2025","ENC","P","Portes","Portes","0","0",="0","","PROFACTOR S A","VT"
"16-06-2025","ENC",="105276","BUCHA P/TORNO PRECISÃO","ZNS00 315x3  313ZNS","0","0",="0","KOMTAS","SOCORPENA - ENGENHARIA E CONSTRUÇÃO, S. A.","DB"
"16-06-2025","ENC",="110311","SUPORTE","PDJNR2020K15","0","0",="0","KENNA","TORNEIRAS RORIZ, SA","DB"
"16-06-2025","ENC","G","KIT PROMOCIONAL","","0","0",="0","","TORNEIRAS RORIZ, SA","DB"
"16-06-2025","ENC",="125059","PLAQUETE","DNMG150604MS K313","0","0",="35","KENNA","TORNEIRAS RORIZ, SA","DB"
"16-06-2025","ENC","","","","0","0",="0","","TORNEIRAS RORIZ, SA","DB"
"16-06-2025","ENC","","","","0","0",="0","","TORNEIRAS RORIZ, SA","DB"
"16-06-2025","ENC",="109526","PLAQUETE","DNMG150608E4E SP0819","0","0",="35","KENNA","IMFU IND. MOLDES FERRAMENTAS UTENSÍLIOS, SA","VT"
"16-06-2025","ENC",="112434","PLAQUETE","DNMG150604E1B SP0819","0","0",="35","KENNA","IMFU IND. MOLDES FERRAMENTAS UTENSÍLIOS, SA","VT"
"16-06-2025","ENC","G","KIT PROMOCIONAL","","0","0",="0","","ADLA - ALUMINIUM EXTRUSION, SA","DB"
"16-06-2025","ENC",="133226","CINTA SERRA","3660 27x0,9 2/3D SICLONE","0","0",="0","SIMOND","ADLA - ALUMINIUM EXTRUSION, SA","DB"
"16-06-2025","ENC",="133226","CINTA SERRA","3660 27x0,9 2/3D SICLONE","0","0",="0","SIMOND","ADLA - ALUMINIUM EXTRUSION, SA","DB"
"16-06-2025","ENC",="110351","FRESA TUNGS 4N CURTA","460 LH4EM060 ALTIN 6,00mm","0","0",="20","LH","KRISTALTEK – CNC PRECISION, SA","DB"
"16-06-2025","ENC",="112963","FRESA TUNGS 4N CURTA BOL","460 LH4BZ160 ALTIN 16,00mm","0","0",="20","LH","KRISTALTEK – CNC PRECISION, SA","DB"
"16-06-2025","ENC",="100325","BROCA CILINDRICA DIN338N","0 HSS 12,00mm","0","0",="0","OSBORN","KRISTALTEK – CNC PRECISION, SA","DB"
"16-06-2025","ENC","P","Portes","Portes","0","0",="0","","VITROSTEEL INDÚSTRIA, LDA","VT"
"16-06-2025","ENC",="131415","TIRANTE COM REFRIGERAÇÃO","LDB-P40T(45) M16 BT40 45º","0","0",="0","HTK","VITROSTEEL INDÚSTRIA, LDA","VT"
"16-06-2025","ENC","","","","0","0",="0","","VITROSTEEL INDÚSTRIA, LDA","VT"
"16-06-2025","ENC",="120794","MACHO MAN HSSG DIN352","M 16,00x2.00 Jogo  27358","0","0",="0","VOLKEL","CONTINENTAL MABOR INDÚSTRIA DE PNEUS, SA.","OC"
"16-06-2025","ENC",="100854","CHAVE CAIXA QUADRA 1/2" P/SEXTA","7809 M 17,00mm","0","0",="0","BAHCO","CONTINENTAL MABOR INDÚSTRIA DE PNEUS, SA.","OC"
"16-06-2025","ENC",="100264","BROCA CILINDRICA DIN338N","0 HSS 5,50mm","0","0",="0","OSBORN","CONTINENTAL MABOR INDÚSTRIA DE PNEUS, SA.","OC"
"16-06-2025","ENC",="100851","CHAVE CAIXA QUADRA 1/2" P/SEXTA","7809 M 10,00mm","0","0",="0","BAHCO","CONTINENTAL MABOR INDÚSTRIA DE PNEUS, SA.","OC"
"16-06-2025","ENC",="100654","CHAVE CAIXA QUADRA 1/2" P/SEXTA","7809 M 19,00mm","0","0",="0","BAHCO","CONTINENTAL MABOR INDÚSTRIA DE PNEUS, SA.","OC"
"16-06-2025","ENC",="100338","BROCA CILINDRICA DIN338N 8208011800","0 HSS 18,00mm","0","0",="0","OSBORN","CONTINENTAL MABOR INDÚSTRIA DE PNEUS, SA.","OC"
"16-06-2025","ENC",="103159","MACHO MAN HSSGT","M 14,00x2.00 Jogo Prog VOLKEL 27354","0","0",="0","VOLKEL","CONTINENTAL MABOR INDÚSTRIA DE PNEUS, SA.","OC"
"16-06-2025","ENC",="104649","PLAQUETE","SDMT120412EN41 X500","0","0",="35","KENNA","SERMEC II IND., COMÉRCIO SERVIÇOS, SA","VT"
"16-06-2025","ENC","P","Portes","Portes","0","0",="0","","IMEPRE - INDÚSTRIA MECÂNICA DE PRECISÃO, LDA","OC"
"16-06-2025","ENC",="134124","RECARTILHA PM","GV 0,80 45º. 20x8x6mm Nr 21","0","0",="0","ZEUS","IMEPRE - INDÚSTRIA MECÂNICA DE PRECISÃO, LDA","OC"
"16-06-2025","ENC",="107674","PINÇA","462 E Ø24 D=35,05 L=52","0","0",="0","EROGLU","MOLDOGRANO-SERRALHARIA MECÂNICA UNIPESSOAL LDA","VT"
"16-06-2025","ENC",="105717","PORTA PINÇAS","SK40 A OZ 25 (2-25) 66","0","0",="0","EROGLU","MOLDOGRANO-SERRALHARIA MECÂNICA UNIPESSOAL LDA","VT"
"17-06-2025","ENC","","","","0","0",="0","","TRICAD - SOLUÇÕES DE ENGENHARIA UNIPESSOAL LDA","OC"
